year,month,pre_Region1,pre_Region2,pre_Region3,pre_Region4,pre_Region5,pre_Region6,tmp_Region1,tmp_Region2,tmp_Region3,tmp_Region4,tmp_Region5,tmp_Region6,spi3_1,spi3_2,spi3_3,spi3_4,spi3_5,spi3_6,tmp3m_1,tmp3m_2,tmp3m_3,tmp3m_4,tmp3m_5,tmp3m_6
2016,2,224.6870094,65.16328888,226.7859891,267.4811274,169.7548712,247.6238718,27.24765853,26.4325193,26.77199081,26.54657604,26.84831006,15.28066731,-1.840199893,-1.35845595,-2.123310723,-2.723562147,-1.475328423,0.625887396,27.34820875,26.42179776,27.32833266,26.90485526,26.83254925,15.28641098
2016,3,293.3088144,101.8943218,270.2893629,312.0165971,161.0061059,137.8343124,26.97747877,26.47405399,27.3423165,26.73586317,26.54221836,14.8795853,-1.106170418,-1.248416164,-1.459561256,-1.706309609,-0.761704987,0.992756136,27.29291667,26.43932748,27.11684091,26.80688391,26.67750623,15.20012732
2016,4,309.0540617,257.9121603,307.0275764,201.9717229,78.33243785,96.08345985,26.72307423,26.55706305,27.42047837,27.10605855,26.76274603,14.5164373,-0.029238214,0.004773786,-0.45910043,-1.444393198,-3.005085507,1.753031988,26.98273718,26.48787878,27.17826189,26.79616592,26.71775815,14.89222997
2016,5,296.480953,318.5601112,282.7128663,111.0419728,23.12121803,40.78564911,26.48065498,25.81447081,27.50596404,26.23814118,24.51357057,13.2853928,-0.27229775,0.171068973,-0.670091303,-1.362811893,-2.77774611,0.064172512,26.72706933,26.28186262,27.42291963,26.6933543,25.93951165,14.22713847
2016,6,281.8377036,343.8262267,209.3600316,54.9048273,18.73871319,33.78864892,25.71737512,25.2751219,26.99552109,25.44254617,22.89547514,12.27183723,-0.400682683,-0.129600002,-0.746759022,-1.701951212,-3.075581434,-0.049615573,26.30703478,25.88221859,27.30732116,26.26224863,24.72393058,13.35788911
2016,7,283.2816359,315.2587816,152.0995561,49.33891774,6.574479244,34.05047284,25.72855648,25.20949066,27.02214023,25.93847559,24.23396727,12.49048391,-0.104635216,-1.206376397,-1.045681765,-0.732086021,-2.540035684,-0.486978916,25.97552886,25.43302779,27.17454178,25.87305431,23.88100433,12.68257132
2016,8,169.0479848,282.2721577,88.37774493,54.62973628,37.18863926,27.85212609,26.37273879,25.73358246,27.66114875,26.76514832,25.66871464,12.90625161,-0.307592822,-1.424949094,-1.125059839,0.179884746,0.277334949,-0.061774727,25.9395568,25.40606501,27.22627002,26.04872336,24.26605235,12.55619092
2016,9,199.4613996,250.4130191,71.80587841,101.6069426,57.09977901,60.56774615,26.37709106,25.88567503,27.83253611,26.62562393,26.41003544,13.38812566,-0.291410065,-0.743941083,-0.765877848,0.332345441,0.719609959,0.532511111,26.15946211,25.60958272,27.50527503,26.44308261,25.43757245,12.92828706
2016,10,210.3694645,191.7924142,56.56489225,174.3010091,113.0225447,67.20934837,26.6981469,26.2338055,28.35657731,27.39805558,27.64027326,14.73937868,-0.681044706,-0.189747925,-0.61113438,-0.078379936,0.62959763,0.197584579,26.48265892,25.951021,27.95008739,26.92960927,26.57300778,13.67791865
2016,11,177.118888,148.109941,57.53085765,183.9416398,162.360119,56.33078007,26.93938668,26.08790307,28.05256865,26.81278654,26.20595987,14.56168949,-0.729692471,-0.107072616,-0.839945829,-1.300345292,-0.231665569,-0.830737606,26.67154155,26.06912787,28.08056069,26.94548868,26.75208953,14.22973127
